Name,Text,Votes
"
Smooth workflow using Trello: cards moved from To Do → In Progress → Done.",,
"
Successfully completed all 6 user stories planned for Sprint 2.",,
"
Screenshots clearly show progress of tasks for demonstration.",,
"Able to simulate Agile sprint process and understand sprint execution practically.   ",,
